primary_category_id,primary_category_ko,normalized_institution,author_count,selected_paper_count,matched_filter_views,dual_affiliation_author_count,raw_affiliation_variants
FOREIGN_INSTITUTION,외국 기관,Amazon,6,2,foreign,0,Amazon
FOREIGN_INSTITUTION,외국 기관,NVIDIA,5,4,foreign,0,NVIDIA
FOREIGN_INSTITUTION,외국 기관,Adobe Research,4,4,foreign,0,Adobe Research
FOREIGN_INSTITUTION,외국 기관,Carnegie Mellon University,4,2,foreign,0,Carnegie Mellon University
FOREIGN_INSTITUTION,외국 기관,Microsoft Research Asia,4,2,foreign,0,Microsoft Research Asia
FOREIGN_INSTITUTION,외국 기관,Snap Inc.,4,2,foreign,0,Snap Inc.
FOREIGN_INSTITUTION,외국 기관,National Taiwan University,3,2,foreign,0,National Taiwan University
FOREIGN_INSTITUTION,외국 기관,University of Science and Technology of China,3,3,foreign,0,University of Science and Technology of China
FOREIGN_INSTITUTION,외국 기관,Vanderbilt University,3,1,foreign,0,Vanderbilt University
FOREIGN_INSTITUTION,외국 기관,Adobe Systems,2,1,foreign,0,Adobe Systems
FOREIGN_INSTITUTION,외국 기관,Huawei Noah’s Ark Lab,2,2,foreign,0,Huawei Noah’s Ark Lab
FOREIGN_INSTITUTION,외국 기관,Meta,2,2,foreign,0,Meta
FOREIGN_INSTITUTION,외국 기관,New York University,2,2,foreign,0,New York University
FOREIGN_INSTITUTION,외국 기관,Sony Group Corporation,2,1,foreign,0,Sony Group Corporation
FOREIGN_INSTITUTION,외국 기관,"University of California, Los Angeles",2,1,foreign,0,"University of California, Los Angeles"
FOREIGN_INSTITUTION,외국 기관,University of Oxford,2,2,foreign,0,University of Oxford
FOREIGN_INSTITUTION,외국 기관,Aalborg University,1,1,foreign,0,Aalborg University
FOREIGN_INSTITUTION,외국 기관,Adobe,1,1,foreign,0,Adobe
FOREIGN_INSTITUTION,외국 기관,AiV Co.,1,1,foreign,0,AiV Co.
FOREIGN_INSTITUTION,외국 기관,Amazon AGI,1,1,foreign,0,Amazon AGI
FOREIGN_INSTITUTION,외국 기관,Baidu;  Indiana University Bloomington; Shanghai Jiao Tong University; Horizon Robotics,1,1,foreign,0,Baidu;  Indiana University Bloomington; Shanghai Jiao Tong University; Horizon Robotics
FOREIGN_INSTITUTION,외국 기관,Blynx,1,1,foreign,0,Blynx
FOREIGN_INSTITUTION,외국 기관,"Boston University, Boston University",1,1,foreign,0,"Boston University, Boston University"
FOREIGN_INSTITUTION,외국 기관,ByteDance Inc.,1,1,foreign,0,ByteDance Inc.
FOREIGN_INSTITUTION,외국 기관,Canva,1,1,foreign,0,Canva
FOREIGN_INSTITUTION,외국 기관,"CMU, Carnegie Mellon University",1,1,foreign,0,"CMU, Carnegie Mellon University"
FOREIGN_INSTITUTION,외국 기관,"CMU, Carnegie Mellon University; National Yang Ming Chiao Tung University; Sony Group Corporation",1,1,foreign,0,"CMU, Carnegie Mellon University; National Yang Ming Chiao Tung University; Sony Group Corporation"
FOREIGN_INSTITUTION,외국 기관,Czech Technical Univeresity in Prague,1,1,foreign,0,Czech Technical Univeresity in Prague
FOREIGN_INSTITUTION,외국 기관,Deep dimension,1,1,foreign,0,Deep dimension
FOREIGN_INSTITUTION,외국 기관,"Department of Computer Science, ETHZ - ETH Zurich",1,1,foreign,0,"Department of Computer Science, ETHZ - ETH Zurich"
FOREIGN_INSTITUTION,외국 기관,Emory University; Stanford University,1,1,foreign,0,Emory University; Stanford University
FOREIGN_INSTITUTION,외국 기관,ETH Zurich / Microsoft,1,1,foreign,0,ETH Zurich / Microsoft
FOREIGN_INSTITUTION,외국 기관,ETHZ - ETH Zurich,1,2,foreign,0,ETHZ - ETH Zurich
FOREIGN_INSTITUTION,외국 기관,EverEx,1,2,foreign,0,EverEx
FOREIGN_INSTITUTION,외국 기관,Facebook,1,1,foreign,0,Facebook
FOREIGN_INSTITUTION,외국 기관,FruitfulAI; University of Padua,1,1,foreign,0,FruitfulAI; University of Padua
FOREIGN_INSTITUTION,외국 기관,GenGenAI,1,1,foreign,0,GenGenAI
FOREIGN_INSTITUTION,외국 기관,Google,1,1,foreign,0,Google
FOREIGN_INSTITUTION,외국 기관,Helmholtz Munich,1,1,foreign,0,Helmholtz Munich
FOREIGN_INSTITUTION,외국 기관,Horizon Robotics,1,1,foreign,0,Horizon Robotics
FOREIGN_INSTITUTION,외국 기관,Huawei,1,1,foreign,0,Huawei
FOREIGN_INSTITUTION,외국 기관,Individual,1,1,foreign,0,Individual
FOREIGN_INSTITUTION,외국 기관,Intel,1,1,foreign,0,Intel
FOREIGN_INSTITUTION,외국 기관,Intel Labs,1,2,foreign,0,Intel Labs
FOREIGN_INSTITUTION,외국 기관,KFUPM,1,1,foreign,0,KFUPM
FOREIGN_INSTITUTION,외국 기관,La Trobe University,1,1,foreign,0,La Trobe University
FOREIGN_INSTITUTION,외국 기관,"Massachusetts General Hospital and Harvard Medical School, Boston, MA, USA",1,2,foreign,0,"Massachusetts General Hospital and Harvard Medical School, Boston, MA, USA"
FOREIGN_INSTITUTION,외국 기관,Meta Reality Lab,1,1,foreign,0,Meta Reality Lab
FOREIGN_INSTITUTION,외국 기관,Microsoft Research,1,1,foreign,0,Microsoft Research
FOREIGN_INSTITUTION,외국 기관,NAIRL,1,1,foreign,0,NAIRL
FOREIGN_INSTITUTION,외국 기관,"Nanyang Technological University, Singapore",1,1,foreign,0,"Nanyang Technological University, Singapore"
FOREIGN_INSTITUTION,외국 기관,National University of Singapore,1,1,foreign,0,National University of Singapore
