run_id,paper_uid,virtual_poster_id,title,first_author,first_author_affiliation_raw,korean_affiliation_included,affiliation_location,primary_affiliation_category,classification_confidence,classification_basis,classification_evidence_url,has_foreign_coaffiliation,foreign_institution_korean_person_status,foreign_identity_evidence_url,official_ecva_record_url,official_programme_data_url,prior_dataset_status,reaudit_diff_status,record_scope
eccv2026-reaudit-2026-09-10,4afa19649ae378da31a423bcd78a97c8,4784,Reflection-Aware Reasoning for Non-Line-of-Sight Pedestrian Localization,Byeonggyu Park,Seoul National University,true,Republic_of_Korea,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,direct_affiliation_mapping,Exact ECVA affiliation mapped to a Korean higher-education or science-and-technology institution.,,false,not_applicable_first_author_has_Korean_affiliation,,https://eccv.ecva.net/virtual/2026/poster/4784,https://eccv.ecva.net/static/virtual/data/eccv-2026-orals-posters.json,present,unchanged,all_ECCV_main_poster_papers
eccv2026-reaudit-2026-09-10,72c25197b6a491816d9a84b42d7205f0,4540,Egocentric Procedure Parsing,Anubhav Anubhav,"Univerity of Maryland, College Park",false,not_classified_as_Korea,FOREIGN_OR_UNVERIFIED_AFFILIATION,not_assessed,Not included by the Korean-affiliation map.,,false,not_determined_no_identity_inference,,https://eccv.ecva.net/virtual/2026/poster/4540,https://eccv.ecva.net/static/virtual/data/eccv-2026-orals-posters.json,added_in_reaudit,added,all_ECCV_main_poster_papers
eccv2026-reaudit-2026-09-10,63bfd6e8f26d1d3537f4c5038264ef36,3829,Kirin: Animal Motion Generation from In-the-Wild Video,Brian Nlong Zhao,University of Illinois at Urbana-Champaign,false,not_classified_as_Korea,FOREIGN_OR_UNVERIFIED_AFFILIATION,not_assessed,Not included by the Korean-affiliation map.,,false,not_determined_no_identity_inference,,https://eccv.ecva.net/virtual/2026/poster/3829,https://eccv.ecva.net/static/virtual/data/eccv-2026-orals-posters.json,added_in_reaudit,added,all_ECCV_main_poster_papers
eccv2026-reaudit-2026-09-10,723e8f97fde15f7a8d5ff8d558ea3f16,5658,LinStereo: Linear-Complexity Global Attention for Multi-Scale Iterative Stereo Matching,Yiran Wang,"University of Sydney, University of Sydney",false,not_classified_as_Korea,FOREIGN_OR_UNVERIFIED_AFFILIATION,not_assessed,Not included by the Korean-affiliation map.,,false,not_determined_no_identity_inference,,https://eccv.ecva.net/virtual/2026/poster/5658,https://eccv.ecva.net/static/virtual/data/eccv-2026-orals-posters.json,added_in_reaudit,added,all_ECCV_main_poster_papers
eccv2026-reaudit-2026-09-10,81cacbb44ce8bf874ef92e1a73432c7f,4399,MedCAGD: Context-Aware Gated Decoder for Robust Medical Image Segmentation,Saad Wazir,"Korea Advanced Institute of Science & Technology (KAIST), Daejeon",true,Republic_of_Korea,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,direct_affiliation_mapping,Exact ECVA affiliation mapped to a Korean higher-education or science-and-technology institution.,,false,not_applicable_first_author_has_Korean_affiliation,,https://eccv.ecva.net/virtual/2026/poster/4399,https://eccv.ecva.net/static/virtual/data/eccv-2026-orals-posters.json,present,unchanged,all_ECCV_main_poster_papers
eccv2026-reaudit-2026-09-10,ac3e2c4e1d4bd07fb973a2ea4d250160,4788,3DWay: Generalizing Robot Manipulation via 3D Consistent Waypoints,Huang Ziqin,Tsinghua University,false,not_classified_as_Korea,FOREIGN_OR_UNVERIFIED_AFFILIATION,not_assessed,Not included by the Korean-affiliation map.,,false,not_determined_no_identity_inference,,https://eccv.ecva.net/virtual/2026/poster/4788,https://eccv.ecva.net/static/virtual/data/eccv-2026-orals-posters.json,added_in_reaudit,added,all_ECCV_main_poster_papers
eccv2026-reaudit-2026-09-10,33c5f5bff65aa05a8cd3e5d2597f44ae,5055,Implicit Neural Representation Facilitates Unified Universal Vision Encoding,Matthew Gwilliam,Institute of Foundation Models,false,not_classified_as_Korea,FOREIGN_OR_UNVERIFIED_AFFILIATION,not_assessed,Not included by the Korean-affiliation map.,,false,not_determined_no_identity_inference,,https://eccv.ecva.net/virtual/2026/poster/5055,https://eccv.ecva.net/static/virtual/data/eccv-2026-orals-posters.json,added_in_reaudit,added,all_ECCV_main_poster_papers
eccv2026-reaudit-2026-09-10,4e506257166306736b63d7e6c9f6d693,5457,InstrAct: Towards Action-Centric Understanding in Instructional Videos,Zhuoyi Yang,Penn State University,false,not_classified_as_Korea,FOREIGN_OR_UNVERIFIED_AFFILIATION,not_assessed,Not included by the Korean-affiliation map.,,false,not_determined_no_identity_inference,,https://eccv.ecva.net/virtual/2026/poster/5457,https://eccv.ecva.net/static/virtual/data/eccv-2026-orals-posters.json,added_in_reaudit,added,all_ECCV_main_poster_papers
eccv2026-reaudit-2026-09-10,86ef0ad0a49f303beba23d4e796fc50b,5474,Fine-Grained Text-to-Video Retrieval for Camera-Trap Data,Valentin Gabeff,EPFL - EPF Lausanne,false,not_classified_as_Korea,FOREIGN_OR_UNVERIFIED_AFFILIATION,not_assessed,Not included by the Korean-affiliation map.,,false,not_determined_no_identity_inference,,https://eccv.ecva.net/virtual/2026/poster/5474,https://eccv.ecva.net/static/virtual/data/eccv-2026-orals-posters.json,added_in_reaudit,added,all_ECCV_main_poster_papers
eccv2026-reaudit-2026-09-10,d095a94d20dcaf7aa07301948549bede,3647,Focusing on What Matters: Saliency-Harnessing Accurate Routing for Diffusion MoE,Haoyou Deng,Huazhong University of Science and Technology,false,not_classified_as_Korea,FOREIGN_OR_UNVERIFIED_AFFILIATION,not_assessed,Not included by the Korean-affiliation map.,,false,not_determined_no_identity_inference,,https://eccv.ecva.net/virtual/2026/poster/3647,https://eccv.ecva.net/static/virtual/data/eccv-2026-orals-posters.json,added_in_reaudit,added,all_ECCV_main_poster_papers
eccv2026-reaudit-2026-09-10,96e76211d21b66fbdaf1a05498b4417a,5342,Flow4R: Unifying 4D Reconstruction and Tracking with Scene Flow,Shenhan Qian,Technische Universität München,false,not_classified_as_Korea,FOREIGN_OR_UNVERIFIED_AFFILIATION,not_assessed,Not included by the Korean-affiliation map.,,false,not_determined_no_identity_inference,,https://eccv.ecva.net/virtual/2026/poster/5342,https://eccv.ecva.net/static/virtual/data/eccv-2026-orals-posters.json,added_in_reaudit,added,all_ECCV_main_poster_papers
eccv2026-reaudit-2026-09-10,aa8cb12cf9bdaf4c309614e7a427b480,5943,From Blobs to Spokes: High-Fidelity Surface Reconstruction via Oriented Gaussians,Diego Gomez,École Polytechnique,false,not_classified_as_Korea,FOREIGN_OR_UNVERIFIED_AFFILIATION,not_assessed,Not included by the Korean-affiliation map.,,false,not_determined_no_identity_inference,,https://eccv.ecva.net/virtual/2026/poster/5943,https://eccv.ecva.net/static/virtual/data/eccv-2026-orals-posters.json,added_in_reaudit,added,all_ECCV_main_poster_papers
eccv2026-reaudit-2026-09-10,8b78af9b5b1ac2745410ef836e697a1c,4894,G-ZAP: A Generalizable Zero-Shot Framework for Arbitrary-Scale Pansharpening,Zhiqi Yang,UESTC,false,not_classified_as_Korea,FOREIGN_OR_UNVERIFIED_AFFILIATION,not_assessed,Not included by the Korean-affiliation map.,,false,not_determined_no_identity_inference,,https://eccv.ecva.net/virtual/2026/poster/4894,https://eccv.ecva.net/static/virtual/data/eccv-2026-orals-posters.json,added_in_reaudit,added,all_ECCV_main_poster_papers
eccv2026-reaudit-2026-09-10,dc6e224a8d74ce03bf301152d6e33e97,3776,GRF-Recon: Global Ray-Field Optimization for Long-Sequence Feed-forward Reconstruction,Enpeng Li,"Northeastern University , China",false,not_classified_as_Korea,FOREIGN_OR_UNVERIFIED_AFFILIATION,not_assessed,Not included by the Korean-affiliation map.,,false,not_determined_no_identity_inference,,https://eccv.ecva.net/virtual/2026/poster/3776,https://eccv.ecva.net/static/virtual/data/eccv-2026-orals-posters.json,added_in_reaudit,added,all_ECCV_main_poster_papers
eccv2026-reaudit-2026-09-10,17440cbf2d556ce0c945559586426aaa,5969,CCFM: Collision-Constrained Flow Matching for Safety-Critical Scenario Generation,Ke Li,Stony Brook University,false,not_classified_as_Korea,FOREIGN_OR_UNVERIFIED_AFFILIATION,not_assessed,Not included by the Korean-affiliation map.,,false,not_determined_no_identity_inference,,https://eccv.ecva.net/virtual/2026/poster/5969,https://eccv.ecva.net/static/virtual/data/eccv-2026-orals-posters.json,added_in_reaudit,added,all_ECCV_main_poster_papers
eccv2026-reaudit-2026-09-10,0496604c1d80f66fbeb963c12e570a26,4646,Molecular Identifier Visual Prompting and Verifiable Reinforcement Learning for Chemical Reaction Diagram Parsing,Jiahe Song,Shanghai AI Lab,false,not_classified_as_Korea,FOREIGN_OR_UNVERIFIED_AFFILIATION,not_assessed,Not included by the Korean-affiliation map.,,false,not_determined_no_identity_inference,,https://eccv.ecva.net/virtual/2026/poster/4646,https://eccv.ecva.net/static/virtual/data/eccv-2026-orals-posters.json,added_in_reaudit,added,all_ECCV_main_poster_papers
