candidate_identity_key,eccv_first_author_name,eccv_first_author_affiliation_raw,eccv_selected_paper_count,eccv_virtual_poster_ids,eccv_titles,source_policy,scholar_status,scholar_profile_url,scholar_search_url,scholar_identity_evidence_url,unknown_reason,eligible_prior_work_count,first_listed_unmarked_count,explicit_equal_contribution_first_count,contribution_marker_unknown_count
cai_1018n5o,Jini Yang,KAIST AI,1,3139,TETO: Tracking Events with Teacher Observation for Motion Estimation and Frame Interpolation,google_scholar_only,matched,https://scholar.google.com/citations?user=yofPRtwAAAAJ&hl=ko&oi=sra,https://scholar.google.com/scholar?q=TETO%3A+Tracking+Events+with+Teacher+Observation+for+Motion+Estimation+and+Frame+Interpolation,https://scholar.google.com/citations?user=yofPRtwAAAAJ&hl=ko&oi=sra,,0,0,0,0
cai_1054qqb,Suyoung Yang,Yonsei University,1,5723,Attention-Logit Steering to Compositional Generalization for Continual VQA,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=Attention-Logit+Steering+to+Compositional+Generalization+for+Continual+VQA,,no_verified_profile_title_match,,,,
cai_10csqcn,Jouwon Song,LG Corporation,1,5909,Structured Redundancy Modeling for Efficient Visual Token Pruning in High-Resolution MLLMs,google_scholar_only,matched,https://scholar.google.com/citations?user=H5vn5JIAAAAJ&hl=ko&oi=sra,https://scholar.google.com/scholar?q=Structured+Redundancy+Modeling+for+Efficient+Visual+Token+Pruning+in+High-Resolution+MLLMs,https://scholar.google.com/citations?user=H5vn5JIAAAAJ&hl=ko&oi=sra,,0,0,0,0
cai_10dcrrm,Seonmi Park,Gwangju Institute of Science and Technology,1,3674,Bridging Online and Offline Handwriting via Differentiable Physical Rendering,google_scholar_only,matched,https://scholar.google.com/citations?user=_jdAVpYAAAAJ&hl=ko&oi=sra,https://scholar.google.com/scholar?q=Bridging+Online+and+Offline+Handwriting+via+Differentiable+Physical+Rendering,https://scholar.google.com/citations?user=_jdAVpYAAAAJ&hl=ko&oi=sra,,1,1,0,0
cai_10q2myd,Mingyeong Song,Ewha Women's University,1,5007,JointHOI: Jointly Generating Contact Maps Enhances Hand Object Interaction Generation,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=JointHOI%3A+Jointly+Generating+Contact+Maps+Enhances+Hand+Object+Interaction+Generation,,scholar_access_blocked,,,,
cai_112zspb,Youngsik Yun,Yonsei University,1,3745,Do Flat Minima Improve Sparse Novel View Synthesis?,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=Do+Flat+Minima+Improve+Sparse+Novel+View+Synthesis%3F,,scholar_access_blocked,,,,
cai_11rcyvl,Sungjune Kim,Korea University,1,3528,Path-level Hindsight Instructions for Semantic Exploration in Vision-Language Navigation,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=Path-level+Hindsight+Instructions+for+Semantic+Exploration+in+Vision-Language+Navigation,,scholar_access_blocked,,,,
cai_11z16or,Moonyeon Jeong,"Computer Vision Lab, University of Seoul",1,3759,ViewSplat: View-Adaptive Dynamic Gaussian Splatting for Feed-Forward Synthesis,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=ViewSplat%3A+View-Adaptive+Dynamic+Gaussian+Splatting+for+Feed-Forward+Synthesis,,scholar_access_blocked,,,,
cai_12doui9,Saad Wazir,"Korea Advanced Institute of Science & Technology (KAIST), Daejeon",1,4399,MedCAGD: Context-Aware Gated Decoder for Robust Medical Image Segmentation,google_scholar_only,matched,https://scholar.google.com/citations?user=hMSbyCoAAAAJ&hl=ko&oi=sra,https://scholar.google.com/scholar?q=MedCAGD%3A+Context-Aware+Gated+Decoder+for+Robust+Medical+Image+Segmentation,https://scholar.google.com/citations?user=hMSbyCoAAAAJ&hl=ko&oi=sra,,1,1,0,0
cai_12g2vk1,Seongmin Jung,Seoul National University,1,4323,PanoGrounder: Bridging 2D and 3D with Panoramic Scene Representations for VLM-based 3D Visual Grounding,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=PanoGrounder%3A+Bridging+2D+and+3D+with+Panoramic+Scene+Representations+for+VLM-based+3D+Visual+Grounding,,scholar_access_blocked,,,,
cai_12hulj8,Yuhwan Jeong,KAIST,1,3978,FrozenDrive: Zero-Shot Text-Guided Driving Scene Generation and Data Augmentation with Parameter-Free Frozen Diffusion Model,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=FrozenDrive%3A+Zero-Shot+Text-Guided+Driving+Scene+Generation+and+Data+Augmentation+with+Parameter-Free+Frozen+Diffusion+Model,,scholar_access_blocked,,,,
cai_12jd1n6,Soyeon Kim,"Korea Advanced Institute of Science and Technology (KAIST), INEEJI Corp.",1,5647,Diffusion Integrated Gradients: Controllable Path Generation for Flexible Feature Attribution,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=Diffusion+Integrated+Gradients%3A+Controllable+Path+Generation+for+Flexible+Feature+Attribution,,scholar_access_blocked,,,,
cai_12ozdml,Yu-Ji Kim,POSTECH,1,4036,Enhancing Embodied Reasoning and Grounding by Novel View Synthesis,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=Enhancing+Embodied+Reasoning+and+Grounding+by+Novel+View+Synthesis,,scholar_access_blocked,,,,
