candidate_identity_key,eccv_first_author_name,eccv_first_author_affiliation_raw,openalex_rank,openalex_author_id,openalex_display_name,openalex_orcid,openalex_last_known_institutions,openalex_works_count,openalex_cited_by_count,candidate_match_score,matching_signals,openalex_api_query_url,lead_status,notes
cai_b8qb30,Beom Young Kim,NAVER Cloud,1,https://openalex.org/A5100404804,Do Young Kim,https://orcid.org/0000-0002-8327-3439,Yonsei University; Severance Hospital; Yonsei University Health System,571,15131,5,orcid_available,https://api.openalex.org/authors?search=Beom+Young+Kim&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_b8qb30,Beom Young Kim,NAVER Cloud,2,https://openalex.org/A5100681582,Beom Kyung Kim,https://orcid.org/0000-0002-5363-2496,Yonsei University; Severance Hospital; University Health System; Yonsei University Health System,518,10102,5,orcid_available,https://api.openalex.org/authors?search=Beom+Young+Kim&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_b8qb30,Beom Young Kim,NAVER Cloud,3,https://openalex.org/A5100753669,Soo‐Hyun Cho,https://orcid.org/0000-0002-8073-8771,Bowdoin College,249,2909,5,orcid_available,https://api.openalex.org/authors?search=Beom+Young+Kim&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_b8qb30,Beom Young Kim,NAVER Cloud,4,https://openalex.org/A5114151709,Young Beom Kim,https://orcid.org/0000-0003-1349-8488,Pyeongtaek University; National IT industry Promotion Agency; Hanyang University; Anyang University,95,2367,5,orcid_available,https://api.openalex.org/authors?search=Beom+Young+Kim&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_b8qb30,Beom Young Kim,NAVER Cloud,5,https://openalex.org/A5020554633,Young‐Beom Kim,https://orcid.org/0000-0002-0307-0595,Convergence; Hanyang University; Anyang University,153,2084,5,orcid_available,https://api.openalex.org/authors?search=Beom+Young+Kim&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_jr6jbb,Bonmu Do,Inha University,1,https://openalex.org/A5151071343,Bonmu Do,https://orcid.org/0009-0008-9770-0316,Inha University,1,0,100,exact_normalized_name; canonical_affiliation_match; orcid_available,https://api.openalex.org/authors?search=Bonmu+Do&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_ro66h9,Boseung Jeong,POSTECH,1,https://openalex.org/A5088951609,Boseung Jeong,https://orcid.org/0000-0001-9382-3396,Samsung (South Korea),15,128,65,exact_normalized_name; orcid_available,https://api.openalex.org/authors?search=Boseung+Jeong&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_12x2ya,Bryan Sangwoo Kim,Korea Advanced Institute of Science & Technology,1,https://openalex.org/A5087015631,Bryan S. K. Kim,https://orcid.org/0000-0001-8315-0554,Korea Advanced Institute of Science and Technology; University of Hawaii at Hilo,109,5631,40,canonical_affiliation_match; orcid_available,https://api.openalex.org/authors?search=Bryan+Sangwoo+Kim&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_12x2ya,Bryan Sangwoo Kim,Korea Advanced Institute of Science & Technology,2,https://openalex.org/A5110093966,B. Kim,,Korea Advanced Institute of Science and Technology; International Graduate School of English,9,18,35,canonical_affiliation_match,https://api.openalex.org/authors?search=Bryan+Sangwoo+Kim&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_12x2ya,Bryan Sangwoo Kim,Korea Advanced Institute of Science & Technology,3,https://openalex.org/A5059514761,Bryan S Kim,https://orcid.org/0009-0002-2802-4234,Korea Maritime and Ocean University,3,2,5,orcid_available,https://api.openalex.org/authors?search=Bryan+Sangwoo+Kim&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_12x2ya,Bryan Sangwoo Kim,Korea Advanced Institute of Science & Technology,4,https://openalex.org/A5125053389,Bryan Sangwoo Kim,,Korea Advanced Institute of Science and Technology,2,0,95,exact_normalized_name; canonical_affiliation_match,https://api.openalex.org/authors?search=Bryan+Sangwoo+Kim&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_1yyss68,Byeonggyu Park,Seoul National University,1,https://openalex.org/A5054440972,Byeonggyu Park,,Seoul National University of Science and Technology; Seoul National University; New Generation University College,6,22,95,exact_normalized_name; canonical_affiliation_match,https://api.openalex.org/authors?search=Byeonggyu+Park&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_1yyss68,Byeonggyu Park,Seoul National University,2,https://openalex.org/A5039962130,Byeonggyu Park,,Chosun University,2,13,60,exact_normalized_name,https://api.openalex.org/authors?search=Byeonggyu+Park&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_1yyss68,Byeonggyu Park,Seoul National University,3,https://openalex.org/A5073432183,Byeonggyu Park,,Korea University,2,11,60,exact_normalized_name,https://api.openalex.org/authors?search=Byeonggyu+Park&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_1yyss68,Byeonggyu Park,Seoul National University,4,https://openalex.org/A5081054924,Byeonggyu Park,,International University of Korea; Korea University of International Studies,1,3,60,exact_normalized_name,https://api.openalex.org/authors?search=Byeonggyu+Park&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_1yyss68,Byeonggyu Park,Seoul National University,5,https://openalex.org/A5049236369,Byeonggyu Park,,Chosun University,3,2,60,exact_normalized_name,https://api.openalex.org/authors?search=Byeonggyu+Park&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_1a10uti,Byeonghun Lee,Korea University,1,https://openalex.org/A5025978300,B.H. Lee,,Daegu Gyeongbuk Institute of Science and Technology,4,160,0,,https://api.openalex.org/authors?search=Byeonghun+Lee&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_1a10uti,Byeonghun Lee,Korea University,2,https://openalex.org/A5081847552,Byeonghun Lee,,Daewoong Pharmaceutical (South Korea),3,68,60,exact_normalized_name,https://api.openalex.org/authors?search=Byeonghun+Lee&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_1a10uti,Byeonghun Lee,Korea University,3,https://openalex.org/A5005793299,Byeonghun Lee,,Sogang University,5,35,60,exact_normalized_name,https://api.openalex.org/authors?search=Byeonghun+Lee&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_1a10uti,Byeonghun Lee,Korea University,4,https://openalex.org/A5064847146,이병훈,,Pohang University of Science and Technology,641,76,0,,https://api.openalex.org/authors?search=Byeonghun+Lee&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_1a10uti,Byeonghun Lee,Korea University,5,https://openalex.org/A5032947746,Byeonghun Lee,,,11,22,60,exact_normalized_name,https://api.openalex.org/authors?search=Byeonghun+Lee&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_18w3st,Byoungwoo Kim,KAIST,1,https://openalex.org/A5044680401,Byoungwoo Kim,,,2,26,60,exact_normalized_name,https://api.openalex.org/authors?search=Byoungwoo+Kim&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_18w3st,Byoungwoo Kim,KAIST,2,https://openalex.org/A5025390686,Byoungwoo Kim,,Sangji University,1,6,60,exact_normalized_name,https://api.openalex.org/authors?search=Byoungwoo+Kim&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_18w3st,Byoungwoo Kim,KAIST,3,https://openalex.org/A5149828666,Byoungwoo Kim,,,1,0,60,exact_normalized_name,https://api.openalex.org/authors?search=Byoungwoo+Kim&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_18w3st,Byoungwoo Kim,KAIST,4,https://openalex.org/A5031230560,Byoungwoo Kim,,,1,0,60,exact_normalized_name,https://api.openalex.org/authors?search=Byoungwoo+Kim&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_18w3st,Byoungwoo Kim,KAIST,5,https://openalex.org/A5034658690,Byoungwoo Kim,,Yonsei University,1,0,60,exact_normalized_name,https://api.openalex.org/authors?search=Byoungwoo+Kim&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_5k7e2r,Byungoh Ko,Korea University,1,https://openalex.org/A5107941574,Byeonghak Ko,,University of Seoul,93,493,0,,https://api.openalex.org/authors?search=Byungoh+Ko&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_5k7e2r,Byungoh Ko,Korea University,2,https://openalex.org/A5110502130,B. Ko,,,13,25,0,,https://api.openalex.org/authors?search=Byungoh+Ko&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_1gmil2t,Byungwoo Jeon,KAIST,1,https://openalex.org/A5125139479,Byungwoo Jeon,,Korea Advanced Institute of Science and Technology; Kootenay Association for Science & Technology,2,0,95,exact_normalized_name; canonical_affiliation_match,https://api.openalex.org/authors?search=Byungwoo+Jeon&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_1gmil2t,Byungwoo Jeon,KAIST,2,https://openalex.org/A5130651415,Byungwoo Jeon,,Korea Advanced Institute of Science and Technology; Kootenay Association for Science & Technology,1,0,95,exact_normalized_name; canonical_affiliation_match,https://api.openalex.org/authors?search=Byungwoo+Jeon&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_1gmil2t,Byungwoo Jeon,KAIST,3,https://openalex.org/A5130562724,Byungwoo Jeon,,Korea Advanced Institute of Science and Technology; Kootenay Association for Science & Technology,2,0,95,exact_normalized_name; canonical_affiliation_match,https://api.openalex.org/authors?search=Byungwoo+Jeon&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_1gmil2t,Byungwoo Jeon,KAIST,4,https://openalex.org/A5138968085,Byungwoo Jeon,,Korea Advanced Institute of Science and Technology; Kootenay Association for Science & Technology,1,0,95,exact_normalized_name; canonical_affiliation_match,https://api.openalex.org/authors?search=Byungwoo+Jeon&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_1gmil2t,Byungwoo Jeon,KAIST,5,https://openalex.org/A5139024000,Byungwoo Jeon,,,1,0,60,exact_normalized_name,https://api.openalex.org/authors?search=Byungwoo+Jeon&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_4234nl,Chaesong Park,Seoul National University,1,https://openalex.org/A5052739666,C.H. Park,,Seoul National University,5,6,35,canonical_affiliation_match,https://api.openalex.org/authors?search=Chaesong+Park&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_4234nl,Chaesong Park,Seoul National University,2,https://openalex.org/A5060151070,C W Park,,Korea Institute for Advanced Study; Seoul National University; Soongsil University; Sejong University; Hyundai Engineering (South Korea); Microsoft Research (United Kingdom),33,8,35,canonical_affiliation_match,https://api.openalex.org/authors?search=Chaesong+Park&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_4234nl,Chaesong Park,Seoul National University,3,https://openalex.org/A5115754355,Chaesong Park,,,1,0,60,exact_normalized_name,https://api.openalex.org/authors?search=Chaesong+Park&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_4234nl,Chaesong Park,Seoul National University,4,https://openalex.org/A5135215003,Chaesong Park,,Seoul National University,1,0,95,exact_normalized_name; canonical_affiliation_match,https://api.openalex.org/authors?search=Chaesong+Park&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_1wxi2l,Chaeyeon Lee,Korea University,1,https://openalex.org/A5047012149,C. Justin Lee,https://orcid.org/0000-0002-3555-0980,Daejeon University; University of Seoul; Tech University of Korea; Seoul National University; University of British Columbia; Hallym University; Cancer Research Institute; Gyeongsang National University; Inha University; Yonsei University; Chungnam National University; Korea University; Seoul National University Hospital; Kyungpook National University; Institute for Basic Science; National University College; Chonnam National University Hwasun Hospital; Korea Evaluation Institute of Industrial Technology; Columbia University; Sungkyunkwan University; Korea University of Science and Technology; Korea Institute of Industrial Technology,379,19996,40,canonical_affiliation_match; orcid_available,https://api.openalex.org/authors?search=Chaeyeon+Lee&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_1wxi2l,Chaeyeon Lee,Korea University,2,https://openalex.org/A5056831488,Chaeyeon Lee,https://orcid.org/0000-0001-7235-8093,Soongsil University; Sangmyung University; Korea University; University of Cambridge; Samsung Medical Center; Biosolution (South Korea); Av Engineering (Czechia); Sungkyunkwan University,42,344,100,exact_normalized_name; canonical_affiliation_match; orcid_available,https://api.openalex.org/authors?search=Chaeyeon+Lee&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_1wxi2l,Chaeyeon Lee,Korea University,3,https://openalex.org/A5079473232,Chaeyeon Lee,https://orcid.org/0009-0006-7393-5685,Pusan National University,4,165,65,exact_normalized_name; orcid_available,https://api.openalex.org/authors?search=Chaeyeon+Lee&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_1wxi2l,Chaeyeon Lee,Korea University,4,https://openalex.org/A5016634246,Chaeyeon Lee,https://orcid.org/0000-0001-5508-3024,Samsung Medical Center,23,118,65,exact_normalized_name; orcid_available,https://api.openalex.org/authors?search=Chaeyeon+Lee&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_1wxi2l,Chaeyeon Lee,Korea University,5,https://openalex.org/A5002715067,Chaeyeon Lee,https://orcid.org/0000-0001-7633-2448,University of Cambridge,6,49,65,exact_normalized_name; orcid_available,https://api.openalex.org/authors?search=Chaeyeon+Lee&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_naliiu,Changjin Kim,Hanyang University,1,https://openalex.org/A5012586082,Changjin Kim,,,15,297,60,exact_normalized_name,https://api.openalex.org/authors?search=Changjin+Kim&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_naliiu,Changjin Kim,Hanyang University,2,https://openalex.org/A5047642969,Changjin Kim,https://orcid.org/0000-0003-3727-6249,National Insurance Institute of Israel; Hanyang University,7,27,100,exact_normalized_name; canonical_affiliation_match; orcid_available,https://api.openalex.org/authors?search=Changjin+Kim&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_naliiu,Changjin Kim,Hanyang University,3,https://openalex.org/A5027248392,Changjin Yoon,https://orcid.org/0000-0003-4960-2910,GE Global Research (United States),54,374,5,orcid_available,https://api.openalex.org/authors?search=Changjin+Kim&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_naliiu,Changjin Kim,Hanyang University,4,https://openalex.org/A5020782669,Changjin Kim,,Samsung (South Korea),4,2,60,exact_normalized_name,https://api.openalex.org/authors?search=Changjin+Kim&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_naliiu,Changjin Kim,Hanyang University,5,https://openalex.org/A5113249461,Changjin Kim,,,5,2,60,exact_normalized_name,https://api.openalex.org/authors?search=Changjin+Kim&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_1xjvdwb,Changwoo Baek,Pusan National University,1,https://openalex.org/A5090908427,Chang Hyun Baek,https://orcid.org/0000-0001-6446-4910,Korea Soongsil Cyber ​​University,45,116,5,orcid_available,https://api.openalex.org/authors?search=Changwoo+Baek&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
cai_1xjvdwb,Changwoo Baek,Pusan National University,2,https://openalex.org/A5126427304,Changwoo Baek,,Pusan National University,8,0,95,exact_normalized_name; canonical_affiliation_match,https://api.openalex.org/authors?search=Changwoo+Baek&per-page=5,unverified_discovery_only,Do not use this row to resolve identity or count prior papers without primary-source verification.
