candidate_identity_key,eccv_first_author_name,source_url,source_kind,claim,qa_actions_or_status
cai_b8qb30,Beom Young Kim,https://beomyoung-kim.github.io/,official_personal_site,"Identity, NAVER Cloud/KAIST affiliation, and research profile match the ECCV candidate.",
cai_b8qb30,Beom Young Kim,https://beomyoung-kim.github.io/cv.html,official_cv,Official CV identifies prior top-tier publications and first-author history.,
cai_b8qb30,Beom Young Kim,https://phoenix-eccv26.github.io/,official_project_page,ECCV 2026 paper lists Beomyoung Kim and NAVER Cloud/KAIST affiliations.,
cai_b8qb30,Beom Young Kim,https://naver-career.github.io/en/publications/all/,official_institutional_publications,NAVER publication list associates Beomyoung Kim with NAVER Cloud/KAIST CVPR work.,
cai_jr6jbb,Bonmu Do,,review_status,,identity_unresolved_prior_work_incomplete
cai_1a10uti,Byeonghun Lee,https://ipa.korea.ac.kr/members.html,official_institutional_profile,Official Korea University profile identifies Byeonghun Lee and his research in structure from motion/reference-based super-resolution.,
cai_1a10uti,Byeonghun Lee,https://www.openaccess.thecvf.com/content/ICCV2025/papers/Lee_Reference-based_Super-Resolution_via_Image-based_Retrieval-Augmented_Generation_Diffusion_ICCV_2025_paper.pdf,official_proceedings,ICCV 2025 paper lists Byeonghun Lee first and Korea University affiliation.,
cai_1a10uti,Byeonghun Lee,https://hyeon-cho.github.io/,official_collaborator_site,Collaborator's official research site identifies Byeonghun Lee as first author of the reference-based super-resolution paper and the ECCV 2026 ReAL work.,
cai_18w3st,Byoungwoo Kim,https://arxiv.org/abs/2609.02377,official_preprint_record,Post-cutoff ProSR record lists Byoungwoo Kim as first author; this is not sufficient alone for identity resolution or counting.,
cai_18w3st,Byoungwoo Kim,,review_status,,identity_unresolved_prior_work_incomplete
cai_5k7e2r,Byungoh Ko,https://dcollection.korea.ac.kr/public_resource/pdf/000000307913_20260421163300.pdf,official_institutional_thesis,Korea University thesis identifies Byungoh Ko and the same Context-Calibrated Preference Optimization research.,
cai_5k7e2r,Byungoh Ko,https://openaccess.thecvf.com/content/ICCV2025/papers/Choi_Representation_Shift_Unifying_Token_Compression_with_FlashAttention_ICCV_2025_paper.pdf,official_proceedings,ICCV 2025 paper lists Byungoh Ko as third author and Korea University affiliation/email.,
cai_5k7e2r,Byungoh Ko,https://www.linkedin.com/in/byungoh-ko-01ba59225,professional_profile,"Profile associates Byungoh Ko with Korea University and the ECCV 2026 paper; supporting identity context, not used alone for count.",
cai_5k7e2r,Byungoh Ko,,qa_action,,"Removed evidence row 1: author is explicitly third-listed, so it is not eligible under the first-listed authorship rule."
cai_1wxi2l,Chaeyeon Lee,https://chae0382.github.io/,official_personal_profile,"Profile identifies Chae-Yeon Lee as an SNU Visual Computing Lab PhD student, previously at POSTECH and KAIST, working in 3D computer vision.",
cai_1wxi2l,Chaeyeon Lee,https://arxiv.org/abs/2606.31100,official_preprint_metadata,"TaxoMIL lists Chaeyeon Lee first, but its June 2026 date is after the audit cutoff and the metadata does not establish the Korea University candidate identity.",
cai_1wxi2l,Chaeyeon Lee,,review_status,,identity_unresolved_prior_work_incomplete
cai_naliiu,Changjin Kim,https://cryptology-algorithm-lab.github.io/,institutional_profile,Official Hanyang C&A Lab page names Changjin Kim and associates him with Hanyang University.,
cai_naliiu,Changjin Kim,https://openaccess.thecvf.com/content/CVPR2024/html/Kim_LAN_Learning_to_Adapt_Noise_for_Image_Denoising_CVPR_2024_paper.html,official_proceedings,CVPR 2024 Open Access record lists Changjin Kim first for LAN and states the paper is a CVPR proceedings paper.,
